,precision,recall,f1-score,support
Speaker0026,1.0,0.9928571428571429,0.996415770609319,140.0
Speaker0027,1.0,0.9928571428571429,0.996415770609319,140.0
Speaker0028,0.9782608695652174,1.0,0.989010989010989,180.0
Speaker0029,0.970873786407767,1.0,0.9852216748768473,100.0
Speaker0030,0.8928571428571429,1.0,0.9433962264150944,100.0
Speaker0031,0.9857142857142858,0.9857142857142858,0.9857142857142858,140.0
Speaker0032,0.9789473684210527,0.93,0.9538461538461539,100.0
Speaker0033,1.0,0.89,0.9417989417989417,100.0
Speaker0034,1.0,1.0,1.0,100.0
Speaker0037,0.9876543209876543,1.0,0.9937888198757764,160.0
Speaker0038,0.7874015748031497,1.0,0.8810572687224669,100.0
Speaker0039,0.9367088607594937,0.9673202614379085,0.9517684887459807,153.0
Speaker0040,0.9900990099009901,1.0,0.9950248756218906,100.0
Speaker0041,1.0,0.72,0.8372093023255814,100.0
Speaker0042,1.0,0.9583333333333334,0.9787234042553191,120.0
Speaker0045,1.0,1.0,1.0,120.0
Speaker0046,1.0,0.9916666666666667,0.99581589958159,120.0
Speaker0047,1.0,1.0,1.0,100.0
Speaker0050,1.0,1.0,1.0,100.0
Speaker_0000,1.0,0.8327272727272728,0.9087301587301587,275.0
Speaker_0001,0.9971988795518207,1.0,0.9985974754558204,356.0
Speaker_0002,0.7797101449275362,0.7577464788732394,0.7685714285714286,355.0
Speaker_0003,1.0,0.94921875,0.9739478957915831,256.0
Speaker_0004,0.826797385620915,0.9806201550387597,0.8971631205673759,258.0
Speaker_0005,0.8852459016393442,1.0,0.9391304347826087,216.0
Speaker_0006,0.6228070175438597,0.6543778801843319,0.6382022471910113,217.0
Speaker_0007,0.9943820224719101,0.9943820224719101,0.9943820224719101,178.0
Speaker_0008,1.0,0.9726962457337884,0.986159169550173,293.0
Speaker_0009,0.9836065573770492,0.994475138121547,0.989010989010989,181.0
Speaker_0010,1.0,1.0,1.0,152.0
Speaker_0011,1.0,0.9883720930232558,0.9941520467836257,172.0
Speaker_0012,1.0,0.9875,0.9937106918238994,80.0
Speaker_0013,1.0,1.0,1.0,95.0
Speaker_0014,1.0,0.993421052631579,0.9966996699669967,152.0
Speaker_0015,1.0,1.0,1.0,114.0
Speaker_0016,1.0,0.9624060150375939,0.9808429118773946,133.0
Speaker_0017,0.984375,0.9767441860465116,0.980544747081712,129.0
Speaker_0018,1.0,0.9912280701754386,0.9955947136563876,114.0
Speaker_0019,1.0,1.0,1.0,95.0
Speaker_0021,1.0,0.9883040935672515,0.9941176470588236,171.0
Speaker_0023,0.991304347826087,1.0,0.9956331877729258,114.0
Speaker_0024,1.0,1.0,1.0,152.0
Speaker_0025,1.0,0.975,0.9873417721518988,120.0
accuracy,0.9527890542775522,0.9527890542775522,0.9527890542775522,0.9527890542775522
macro avg,0.9668359180552389,0.9634411229418363,0.9636683767978205,6651.0
weighted avg,0.9559386129865332,0.9527890542775522,0.9529533871972259,6651.0
