speaker,jumlah_file
Speaker_0002,120
Speaker_0001,118
Speaker_0008,99
Speaker_0000,93
Speaker_0004,90
Speaker_0003,85
Speaker_0006,76
Speaker_0005,72
Speaker_0011,65
Speaker_0009,65
Speaker_0007,62
Speaker0028,59
Speaker_0021,58
Speaker0037,55
Speaker_0010,54
Speaker_0024,54
Speaker0039,51
Speaker_0014,51
Speaker0049,50
Speaker_0025,49
Speaker_0016,48
Speaker0027,47
Speaker0031,47
Speaker0026,45
Speaker_0017,44
Speaker0045,42
Speaker0042,41
Speaker_0018,40
Speaker_0023,39
Speaker0046,38
Speaker_0015,38
Speaker0032,37
Speaker0044,37
Speaker_0013,37
Speaker0033,35
Speaker0034,34
Speaker0043,34
Speaker0047,34
Speaker_0012,34
Speaker0038,34
Speaker_0019,33
Speaker0050,33
Speaker0030,33
Speaker0036,33
Speaker0035,32
Speaker0041,32
Speaker0040,32
Speaker0048,31
Speaker0029,31
Speaker_0020,10
